node_1|node_2|edge|chunk_id|example
project risk management plan|project personnel|defines the corresponding expectations for|6bfba2bd3e57484cabfa87a4a20c840e|
risk management plan|project risk management communication|occurs at two levels|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management communication|project team|communication category|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management communication (project team)|risk management meetings and reports|describes the frequency and scope of|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management communication|other project stakeholders|communication category|6bfba2bd3e57484cabfa87a4a20c840e|
risk management plan|team|describes|203510887f6540a3a41d54e17792c494|
risk management plan|frequency and scope of risk management meetings|defines|203510887f6540a3a41d54e17792c494|
risk management plan|scope of various risk management reports|defines|203510887f6540a3a41d54e17792c494|
risk management plan|structure and content of such meetings and reports|defines|203510887f6540a3a41d54e17792c494|
risk management plan|corresponding project risk management processes|describes|203510887f6540a3a41d54e17792c494|
risk management plan|other stakeholders|sets expectations for|203510887f6540a3a41d54e17792c494|
risk management plan|structure content and frequency of routine documents|sets expectations for|203510887f6540a3a41d54e17792c494|
risk management plan|way of information sharing for escalation or exceptional events|sets expectations for|203510887f6540a3a41d54e17792c494|
risk management plan|information required by the project team from stakeholders|details|203510887f6540a3a41d54e17792c494|
project manager|project stakeholders|involves|295ee5cc20da40d3a9fe917668f2b6b4|
project risk management activities|project stakeholders|build on the skills and experience of|295ee5cc20da40d3a9fe917668f2b6b4|
project risk management process|project stakeholders|ensure understanding and commitment to|295ee5cc20da40d3a9fe917668f2b6b4|
risk management plan|management at a level adequate for carrying out the required project risk management processes|provision should be approved by|295ee5cc20da40d3a9fe917668f2b6b4|
management|analysis of the level of resourcing required for managing project risk|should be involved in|295ee5cc20da40d3a9fe917668f2b6b4|
management|risks that may arise from specific limitations placed on the provision of resources|should accept|295ee5cc20da40d3a9fe917668f2b6b4|
stakeholders|disagreements between stakeholders in the areas of risk tolerance and evaluation measures|should be addressed and resolved|295ee5cc20da40d3a9fe917668f2b6b4|
risk management planning|organization's objectives, policies, and practices|complies with|edcb74b1407f4da59dd71166a9e5e0f3|
risk management planning|feasibility of risk management planning|is dependent upon|edcb74b1407f4da59dd71166a9e5e0f3|
risk management planning|organization's culture|should be compatible with|edcb74b1407f4da59dd71166a9e5e0f3|
risk management planning|organization's capabilities (people and facilities)|should be compatible with|edcb74b1407f4da59dd71166a9e5e0f3|
risk management planning|organization's values, goals, and objectives|should be compatible with|edcb74b1407f4da59dd71166a9e5e0f3|
project management in general|organization's effective governance|contributes to|edcb74b1407f4da59dd71166a9e5e0f3|
risk management (particularly)|organization's effective governance|contributes to|edcb74b1407f4da59dd71166a9e5e0f3|
risk management plan|relevant organizational procedures|should identify and take into account|edcb74b1407f4da59dd71166a9e5e0f3|
risk management plan|any other enterprise environmental factors (e.g., strategic risk management or corporate governance processes)|should identify and take into account|edcb74b1407f4da59dd71166a9e5e0f3|
plan risk management process|stakeholders|is supported by|cd85ee0164524a04b9a83c74f705322e|
plan risk management process|management|is recognized and accepted by|cd85ee0164524a04b9a83c74f705322e|
benefits of managing risk|stakeholders and especially management in the organization responsible for the project|are recognized as|cd85ee0164524a04b9a83c74f705322e|
added value of addressing risk management as a skill|stakeholders and especially management in the organization responsible for the project|is perceived as|cd85ee0164524a04b9a83c74f705322e|
plan risk management process|internal and external constraints on the project|aligns with|cd85ee0164524a04b9a83c74f705322e|
plan risk management process|balance between cost or effort and benefit|requires|cd85ee0164524a04b9a83c74f705322e|
plan risk management process|completeness with respect to the needs of the project risk management process|is in terms of|cd85ee0164524a04b9a83c74f705322e|
barriers to successful project risk management|time and effort required for plan risk management process|are identified and addressed|cd85ee0164524a04b9a83c74f705322e|
project management|risk management|is part of|8dabcbecb4744680a1fd0d9e3152b58e|
project objectives|risk management|provides a valid basis for|8dabcbecb4744680a1fd0d9e3152b58e|
project manager|plan risk management activity|ensures availability of|8dabcbecb4744680a1fd0d9e3152b58e|
organization|risk management planning|engages in|8dabcbecb4744680a1fd0d9e3152b58e|
inexperienced organization|developing own approach|may need to|8dabcbecb4744680a1fd0d9e3152b58e|
organization|pre-existing approach|may use|8dabcbecb4744680a1fd0d9e3152b58e|
tailoring|pre-existing approach|requires|8dabcbecb4744680a1fd0d9e3152b58e|
organizational process assets|plan risk management activities|contributes to the chances of success of|8dabcbecb4744680a1fd0d9e3152b58e|
standard templates|risk information|provides|8dabcbecb4744680a1fd0d9e3152b58e|
predefined risk categories|risk information|provides|8dabcbecb4744680a1fd0d9e3152b58e|
established project management methodology|risk information|incorporating risk management procedures that specify what|8dabcbecb4744680a1fd0d9e3152b58e|
risk management activities|predefined risk categories|includes|23feec0a6d5648b48451040c91af1a97|
risk management activities|established project management methodology|incorporates|23feec0a6d5648b48451040c91af1a97|
risk management activities|risk management procedures|specifies|23feec0a6d5648b48451040c91af1a97|
risk management procedures|decision making|requires|23feec0a6d5648b48451040c91af1a97|
risk management procedures|concepts and terms|defines|23feec0a6d5648b48451040c91af1a97|
risk management procedures|roles responsibilities and authority levels|defines|23feec0a6d5648b48451040c91af1a97|
lessons learned|project|taken into account from|23feec0a6d5648b48451040c91af1a97|
project|risk management plan|delivers value unless project risk management is carried out as an integral part of the project|23feec0a6d5648b48451040c91af1a97|
corresponding activities|project work breakdown structure|built into|23feec0a6d5648b48451040c91af1a97|
corresponding activities|schedule|included in|23feec0a6d5648b48451040c91af1a97|
corresponding activities|budget|included in|23feec0a6d5648b48451040c91af1a97|
corresponding activities|work assignment documents|included in|23feec0a6d5648b48451040c91af1a97|
planning sessions|project stakeholders|recommended for|3bc40f809f1245cf92a9d3d40941d2ec|
planning sessions|common understanding of the project's risk approach|build|3bc40f809f1245cf92a9d3d40941d2ec|
planning sessions|agreement on the techniques to be used for managing risk|gain|3bc40f809f1245cf92a9d3d40941d2ec|
elaboration of the risk management plan|effective means for the team to work together|serves to develop|3bc40f809f1245cf92a9d3d40941d2ec|
team approach|subsequent stages of the risk management process|similar will be used in|3bc40f809f1245cf92a9d3d40941d2ec|
participants|project manager|should include|3bc40f809f1245cf92a9d3d40941d2ec|
participants|selected project team members|should include|3bc40f809f1245cf92a9d3d40941d2ec|
participants|other stakeholders|should include|3bc40f809f1245cf92a9d3d40941d2ec|
participants|members of the broader organization having responsibility for risk and other subject matter experts or facilitators as needed|may include|3bc40f809f1245cf92a9d3d40941d2ec|
initial risk responsibilities methodology templates terms definitions time schedules and cost budgets|for the other project risk management processes|should be assigned and accepted at this point|3bc40f809f1245cf92a9d3d40941d2ec|
specification for the tools|subsequent processes|should include|3bc40f809f1245cf92a9d3d40941d2ec|
project risk management processes|other project|assigned|4eb5fd065fc34286b6f45a4f87608509|
project risk management processes|subsequent processes|affects|4eb5fd065fc34286b6f45a4f87608509|
specification for tools|project risk management processes|related to|4eb5fd065fc34286b6f45a4f87608509|
specification for tools|parameters and other inputs required|includes|4eb5fd065fc34286b6f45a4f87608509|
documented risk management plan|project risk management processes|result from|4eb5fd065fc34286b6f45a4f87608509|
formally approved risk management plan|principal deliverable of the plan risk management process|is prerequisite for|4eb5fd065fc34286b6f45a4f87608509|
chapter 4|plan risk management|contains|4eb5fd065fc34286b6f45a4f87608509|
4.3.2 templates|experience and existing best practice risk management planning|benefits from|b9a45afcaa564f8ea2ae67e4ebe556b5|
4.3.2 templates|relevant existing templates for work products|takes into account|b9a45afcaa564f8ea2ae67e4ebe556b5|
relevant existing templates for work products|risk status reports|are related to|b9a45afcaa564f8ea2ae67e4ebe556b5|
relevant existing templates for work products|risk breakdown structures|are related to|b9a45afcaa564f8ea2ae67e4ebe556b5|
relevant existing templates for work products|the risk register|are related to|b9a45afcaa564f8ea2ae67e4ebe556b5|
which templates are relevant to the project|4.3.2 templates|include|b9a45afcaa564f8ea2ae67e4ebe556b5|
which templates are relevant to the project|risk management plan|are adapted and included in|b9a45afcaa564f8ea2ae67e4ebe556b5|
plan risk management process|tools and techniques|used by|e4fe5ac1417a4576bcf8bcebb70464e2|
tool|technique|type of|e4fe5ac1417a4576bcf8bcebb70464e2|
risk management plan|project stakeholders|provides|7b0333f3dafa415589904addb026baef|
risk management plan|agreement upon risk related activities|contains a description of|7b0333f3dafa415589904addb026baef|
risk management plan|stakeholders involvement and responsibilities|describes|7b0333f3dafa415589904addb026baef|
figure 4.1|key areas of focus for the plan risk management process|gives an overview of|7b0333f3dafa415589904addb026baef|
size and complexity of the project|presence of elements in a risk management plan|depends upon|7b0333f3dafa415589904addb026baef|
risk management plan|introduction|includes|7b0333f3dafa415589904addb026baef|
risk management plan|project description|includes|7b0333f3dafa415589904addb026baef|
risk management plan|risk management methodology|includes|7b0333f3dafa415589904addb026baef|
risk management plan|risk management organization|includes roles, responsibilities and authority|7b0333f3dafa415589904addb026baef|
stakeholder risk tolerance criteria for success|risk management plan|is a part of|7b0333f3dafa415589904addb026baef|
risk management tools and guidelines for use|risk management plan|includes|7b0333f3dafa415589904addb026baef|
thresholds and corresponding definitions|risk management plan|includes|7b0333f3dafa415589904addb026baef|
templates|risk management plan|includes|7b0333f3dafa415589904addb026baef|
communications plan|risk management plan|is a part of|7b0333f3dafa415589904addb026baef|
strategy and risk breakdown structure|risk management plan|is a part of|7b0333f3dafa415589904addb026baef|
risk tolerance criteria|success risk management tools|applies to|c44e780cc11c4d6398cd33160a67422c|
success risk management tools|guidelines for use|includes|c44e780cc11c4d6398cd33160a67422c|
guidelines for use|thresholds|defines|c44e780cc11c4d6398cd33160a67422c|
thresholds|corresponding definitions|is associated with|c44e780cc11c4d6398cd33160a67422c|
thresholds|templates|is used with|c44e780cc11c4d6398cd33160a67422c|
templates|communications plan|is part of|c44e780cc11c4d6398cd33160a67422c|
communications plan|strategy|is integrated with|c44e780cc11c4d6398cd33160a67422c|
risk breakdown structure|chapter 5|is related to|c44e780cc11c4d6398cd33160a67422c|
chapter 5|identify risks|discusses|c44e780cc11c4d6398cd33160a67422c|
identify risks process|project objectives|is necessary for|24ec83a0d28e4cdc9023654ae2a683b1|
identify risks process|risk management planning|comes after|24ec83a0d28e4cdc9023654ae2a683b1|
identify risks process|project risk exposure|affects|24ec83a0d28e4cdc9023654ae2a683b1|
identify risks process|decisions and actions taken previously in the project|is influenced by|24ec83a0d28e4cdc9023654ae2a683b1|
identify risks process|project internal change|is influenced by|24ec83a0d28e4cdc9023654ae2a683b1|
identify risks process|externally imposed change|is influenced by|24ec83a0d28e4cdc9023654ae2a683b1|
purpose of risk identification|project objectives|protects|24ec83a0d28e4cdc9023654ae2a683b1|
risk identification|known risks to project objectives|aims to identify|24ec83a0d28e4cdc9023654ae2a683b1|
risk identification|unknown risks or emergent risks|cannot identify all|24ec83a0d28e4cdc9023654ae2a683b1|
risk identification|identify risks process|is iterative, repeating the process to find new risks|24ec83a0d28e4cdc9023654ae2a683b1|
potential responses|risk identified|may also be identified at the same time|24ec83a0d28e4cdc9023654ae2a683b1|
risk identification|risks|is part of|cdd20891906247e4945a382e2c67491d|
risks|previously identified risks|not part of|cdd20891906247e4945a382e2c67491d|
risk identification|potential responses|results in|cdd20891906247e4945a382e2c67491d|
potential responses|recorded during the identify risks process|is related to|cdd20891906247e4945a382e2c67491d|
potential responses|immediate action|affects|cdd20891906247e4945a382e2c67491d|
potential responses|not implemented immediately|is related to|cdd20891906247e4945a382e2c67491d|
not implemented immediately potential responses|considered during the plan risk responses process|is necessary for|cdd20891906247e4945a382e2c67491d|
human activities|bias|is susceptible to|86ee5bb1123f41a6b0cfed36756d60a6|
bias|motivational biases|type of|86ee5bb1123f41a6b0cfed36756d60a6|
bias|cognitive biases|type of|86ee5bb1123f41a6b0cfed36756d60a6|
motivational biases|results in one direction or another|direction affected by|86ee5bb1123f41a6b0cfed36756d60a6|
cognitive biases|occurs as people are using their best judgment and applying heuristics|occurs during|86ee5bb1123f41a6b0cfed36756d60a6|
bias|should be explicitly recognized and addressed during the identify risks process|affects|86ee5bb1123f41a6b0cfed36756d60a6|
sources of bias|should be exposed wherever possible|should be identified|86ee5bb1123f41a6b0cfed36756d60a6|
sources of bias|effect on the risk process|affects|86ee5bb1123f41a6b0cfed36756d60a6|
effect on the risk process|should be managed proactively|requires management|86ee5bb1123f41a6b0cfed36756d60a6|
minimize subjectivity|allow open and honest identification of as many risks as possible to the project|goal of|86ee5bb1123f41a6b0cfed36756d60a6|
early risk identification|project lifecycle|is part of|0999e63a4ea143289781b66ef2a19b86|
early risk identification|project decisions|enables|0999e63a4ea143289781b66ef2a19b86|
early risk identification|project strategy|influences|0999e63a4ea143289781b66ef2a19b86|
initial stages of a project|uncertainty|is related to|0999e63a4ea143289781b66ef2a19b86|
initial stages of a project|less information|results from|0999e63a4ea143289781b66ef2a19b86|
early risk identification|risk responses|is related to|0999e63a4ea143289781b66ef2a19b86|
development and implementation of risk responses|efficiency|enhances|0999e63a4ea143289781b66ef2a19b86|
early risk identification|costs for risk responses|results in changes for|0999e63a4ea143289781b66ef2a19b86|early risk identification enables key project decisions to take maximum account of risks inherent in the project and may result in changes to the project strategy, such as changes to reduce potential costs for risk responses
chapter 5|risks|identifies|0999e63a4ea143289781b66ef2a19b86|
early risk identification|project lifecycle|is performed within|ad5bb081edd74089a308823e30c94b2c|
uncertainty|initial stages of a project|characterizes|ad5bb081edd74089a308823e30c94b2c|
less information|initial stages of a project|is associated with|ad5bb081edd74089a308823e30c94b2c|
early risk identification|key project decisions|enables effective consideration of|ad5bb081edd74089a308823e30c94b2c|
early risk identification|project strategy|may result in changes to|ad5bb081edd74089a308823e30c94b2c|
early risk identification|time available for development and implementation of risk responses|maximizes|ad5bb081edd74089a308823e30c94b2c|
responses taken early|efficiency|enhances|ad5bb081edd74089a308823e30c94b2c|
chapter 5|risks|identifies|ad5bb081edd74089a308823e30c94b2c|
risk identification|project life cycle|is part of|d96d389bae5842bbad0d95e3ff80cab2|
risk identification|periodic review|is repeated during|d96d389bae5842bbad0d95e3ff80cab2|
plan risk management process|frequency of periodic review|determines|d96d389bae5842bbad0d95e3ff80cab2|
risk identification|key milestones in the project|is repeated at|d96d389bae5842bbad0d95e3ff80cab2|
risk identification|significant change to the project or its operating environment|is repeated upon|d96d389bae5842bbad0d95e3ff80cab2|
risk identification|project life cycle|is part of|952af3d6f1c94f9bb2665306d0762ec5|
risk identification|plan risk management process|determined during|952af3d6f1c94f9bb2665306d0762ec5|
risk identification|periodic frequency|determined by|952af3d6f1c94f9bb2665306d0762ec5|
risk identification|key milestones in the project|repeated at|952af3d6f1c94f9bb2665306d0762ec5|
risk identification|significant change to the project or its operating environment|repeated whenever there is|952af3d6f1c94f9bb2665306d0762ec5|
project risk management process|identify risks process|permits|a5e7e81c82f44c90ad8cdcee558fa025|
project risk management process|risk identification events|not limited to|a5e7e81c82f44c90ad8cdcee558fa025|
project risk management process|regular reviews|not limited to|a5e7e81c82f44c90ad8cdcee558fa025|
project plan|identify risks process|defines|a5e7e81c82f44c90ad8cdcee558fa025|
project risk management process|identify risks process (as defined in the project plan)|permits|0820478c0e114f4db9f0d671ce2848e7|
project risk management process|risks|allows for identification at any time|0820478c0e114f4db9f0d671ce2848e7|
project risk management process|formal risk identification events or regular reviews|not limited to|0820478c0e114f4db9f0d671ce2848e7|
comprehensive identification|range of sources of risk|considers|dddc3642739347f2b6334787ec83ffe2|
comprehensive identification|uncertainties|ensures that as many as possible have been identified|dddc3642739347f2b6334787ec83ffe2|
uncertainties|objectives|might affect|dddc3642739347f2b6334787ec83ffe2|
comprehensive identification|broad range of sources of risk|considers|e2e90571c21c45b9827cfcef5daa1e1c|
broad range of sources of risk|uncertainties|might affect|e2e90571c21c45b9827cfcef5daa1e1c|
comprehensive identification|objectives|have been identified in relation to|e2e90571c21c45b9827cfcef5daa1e1c|
opportunities identification process|opportunities|ensures|9331168b90f145609b7f2c1571296d25|
risk management process (implied)|identify risks process|is part of|9331168b90f145609b7f2c1571296d25|
opportunity identification process|opportunities|ensures|183d1b48548642a0b851e4f7a331dbef|
opportunities|risk management process (specifically the 'identify risks' process)|should be properly considered by|183d1b48548642a0b851e4f7a331dbef|
risk identification process|project stakeholders|takes input from|bbff5608bcc340f79e17a7060b6a1765|
risk identification process|immediate project team|limited to|bbff5608bcc340f79e17a7060b6a1765|
all perspectives|risks|ensured to be represented and considered|bbff5608bcc340f79e17a7060b6a1765|
limiting risk identification|exposure of all knowable risks|unlikely to|bbff5608bcc340f79e17a7060b6a1765|
project objectives|identified project risks|relates to|eef612278e1b4c4889c2bb50e8abd05b|
project objectives|risk|affects|eef612278e1b4c4889c2bb50e8abd05b|
risk|uncertain event or condition|is|eef612278e1b4c4889c2bb50e8abd05b|
project objectives|pmbok guide|defined by|eef612278e1b4c4889c2bb50e8abd05b|
risk|pmbok guide|governed by|eef612278e1b4c4889c2bb50e8abd05b|
complete risk statement|identified risks|contains|926dd80740b345369a5722c30cd24d62|
identified risks|those responsible for risk assessment and risk response planning|affects|926dd80740b345369a5722c30cd24d62|
complete risk statement|more detailed risk descriptions|requires|926dd80740b345369a5722c30cd24d62|
more detailed risk descriptions|uncertainty and its causes and effects|explicitly states|926dd80740b345369a5722c30cd24d62|
single words or phrases such as resources or logistics|inadequate descriptions|are not proper examples of|926dd80740b345369a5722c30cd24d62|
ownership risks|risk description level|is affected by|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
ownership risks|development of responses|makes it difficult to|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
ownership risks|assignment of ownership|makes it difficult to|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
risk description level|clear responsibility and accountability for its management|enables|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
risk description level|a single risk owner|is necessary for|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
risk description level|detail|creates a great deal of work|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
trigger conditions|risk description|should also be identified where this is possible and appropriate|9ed9afbe50eb4ed5810ffd0c2dc0e7de|
identify risks process|critical success factors|is governed by|0c5a4c26bae142bcbf3c1d6b641fdac7|
value and effectiveness of the identify risks process|critical success factors|affects|0c5a4c26bae142bcbf3c1d6b641fdac7|
likelihood of identifying as many risks as practicable|critical success factors|influences|0c5a4c26bae142bcbf3c1d6b641fdac7|
section 5.2.1|practices|is part of|0c5a4c26bae142bcbf3c1d6b641fdac7|
section 5.2.10|practices|is part of|0c5a4c26bae142bcbf3c1d6b641fdac7|
maximization of the value and effectiveness of the identify risks process|section 5.2.1 through 5.2.10|results from|0c5a4c26bae142bcbf3c1d6b641fdac7|
historical review|past events in this project|based on|f92957f2bcb5408394f474878a7d8072|
historical review|other similar projects in the same organization|applicable to|f92957f2bcb5408394f474878a7d8072|
historical review|comparable projects in other organizations|applicable to|f92957f2bcb5408394f474878a7d8072|
historical review approaches|careful selection of comparable situations|rely on|f92957f2bcb5408394f474878a7d8072|
historical review approaches|filtering of data|rely on|f92957f2bcb5408394f474878a7d8072|
historical situation selected|current project|applicable to|f92957f2bcb5408394f474878a7d8072|
risks identified in the historical situation|this project|might arise in|f92957f2bcb5408394f474878a7d8072|
current assessments|detailed consideration|relies on|9f6f5208f21341d4890e9c536d10aa9e|
current assessments|project|analyzing|9f6f5208f21341d4890e9c536d10aa9e|
current assessments|project characteristics|considering against|9f6f5208f21341d4890e9c536d10aa9e|
current assessments|given frameworks and models|examining in order to expose areas of uncertainty|9f6f5208f21341d4890e9c536d10aa9e|
current assessment techniques|historical review approaches|do not rely on|9f6f5208f21341d4890e9c536d10aa9e|
current assessment techniques|outside reference points|do not rely on|9f6f5208f21341d4890e9c536d10aa9e|
current assessment techniques|project|based purely on examination of|9f6f5208f21341d4890e9c536d10aa9e|
creativity techniques|risk identification|used for|2991ccecc384421ca6e91b44a2e8f3a8|
project stakeholders|use creativity techniques|encouraged to|2991ccecc384421ca6e91b44a2e8f3a8|
project stakeholders|find risks|encourages|2991ccecc384421ca6e91b44a2e8f3a8|
creativity techniques|affect the project|might affect|2991ccecc384421ca6e91b44a2e8f3a8|
participants' ability to think creatively|determines outcomes or effectiveness of creativity techniques|depends on|2991ccecc384421ca6e91b44a2e8f3a8|
creativity techniques|can be used singly|can be used|2991ccecc384421ca6e91b44a2e8f3a8|
creativity techniques|can be used in groups|can be used|2991ccecc384421ca6e91b44a2e8f3a8|
creativity techniques|employ varying degrees of structure|vary in structure|2991ccecc384421ca6e91b44a2e8f3a8|
participants' ability to think creatively|success is enhanced by a skilled facilitator|enhances success|2991ccecc384421ca6e91b44a2e8f3a8|
category of risk identification technique|has strengths and weaknesses|possesses|2991ccecc384421ca6e91b44a2e8f3a8|
no single technique|cannot reveal all knowable risks|cannot be expected to|2991ccecc384421ca6e91b44a2e8f3a8|
identify risks process for a particular project|should use a combination of techniques|should use|2991ccecc384421ca6e91b44a2e8f3a8|
particular project|may choose to use a risk identification checklist|can choose to use|2991ccecc384421ca6e91b44a2e8f3a8|
particular project|may choose historical review together with assumptions analysis current assessment|can choose|2991ccecc384421ca6e91b44a2e8f3a8|
risk identification techniques|project|is used by|ddb1b552c3084c68896f84ea8b295936|
risk identification techniques|historical review|is one of|ddb1b552c3084c68896f84ea8b295936|
risk identification techniques|assumptions analysis|is one of|ddb1b552c3084c68896f84ea8b295936|
risk identification techniques|current assessment|is one of|ddb1b552c3084c68896f84ea8b295936|
risk identification techniques|brainstorming creativity|is one of|ddb1b552c3084c68896f84ea8b295936|
project|risk breakdown structure|uses|ddb1b552c3084c68896f84ea8b295936|
risk breakdown structure|categories of potential risks|organizes|ddb1b552c3084c68896f84ea8b295936|
prompt list or set of generic list categories|project risk identification techniques|assists in ensuring that|ddb1b552c3084c68896f84ea8b295936|
project risk process|identified risks|is focused on|ddb1b552c3084c68896f84ea8b295936|
identified risks|project risk process|are unambiguously described to ensure that|ddb1b552c3084c68896f84ea8b295936|
structured risk descriptions|clarity|ensures|ddb1b552c3084c68896f84ea8b295936|
risk meta language|structured risk descriptions|offers a useful way of|ddb1b552c3084c68896f84ea8b295936|
structured risk descriptions|clarity|ensures|f6a007251edd4ae6a63ebb1035713b24|
risk meta language|distinguishing a risk from its causes and effects|offers a useful way of|f6a007251edd4ae6a63ebb1035713b24|
three part statements|risk meta language|describing each risk using|f6a007251edd4ae6a63ebb1035713b24|
three part statements|as a result of cause, risk may occur which would lead to effect|in the form of|f6a007251edd4ae6a63ebb1035713b24|
cause|risk|is|f6a007251edd4ae6a63ebb1035713b24|
risk|occur which would lead to effect|may result in|f6a007251edd4ae6a63ebb1035713b24|
effect|cause risk|is related to|f6a007251edd4ae6a63ebb1035713b24|
figure 5.2|the relationship between cause, risk, and effect|shows|f6a007251edd4ae6a63ebb1035713b24|
tools and techniques for risk identification|range of tools and techniques|is a part of|81bb7a7dfe494d7190266507162df791|
risk identification process|tools and techniques for risk identification|belongs to|81bb7a7dfe494d7190266507162df791|
figure 5.1|three perspectives of risk identification|illustrates|81bb7a7dfe494d7190266507162df791|
chapter 5|identify risks|provides information about|81bb7a7dfe494d7190266507162df791|
identify risks process|risk register|results from|55889990f51346e4bf84e18f30ea0687|
results of the identify risks process|all relevant information for each identified risk|includes|55889990f51346e4bf84e18f30ea0687|
identify risks process|risk description|includes|55889990f51346e4bf84e18f30ea0687|
identify risks process|nominated risk owner|includes|55889990f51346e4bf84e18f30ea0687|
identify risks process|causes and effects of the risk|may include|55889990f51346e4bf84e18f30ea0687|
identify risks process|preliminary responses|may include|55889990f51346e4bf84e18f30ea0687|
chapter 6|qualitative risk analysis|performs|55889990f51346e4bf84e18f30ea0687|
perform qualitative risk analysis process|project risks|assesses and evaluates|ee721e0086d04cd3978dc90e0ded4556|
perform qualitative risk analysis process|agreed upon characteristics|based on|ee721e0086d04cd3978dc90e0ded4556|
individual risks|project objectives|affects|ee721e0086d04cd3978dc90e0ded4556|
qualitative risk analysis|probability of each risk occurrence|evaluates|ee721e0086d04cd3978dc90e0ded4556|
qualitative risk analysis|effects of individual risks on the project objectives|evaluates|ee721e0086d04cd3978dc90e0ded4556|
quantitative risk analysis techniques|overall risk to project objectives|addresses directly|ee721e0086d04cd3978dc90e0ded4556|
analysis step|risks categorization according to sources or causes|includes|ee721e0086d04cd3978dc90e0ded4556|
root cause risk|risk responses|focuses on addressing|ee721e0086d04cd3978dc90e0ded4556|
common sources or causes of risks|more effective risk responses|when they focus on addressing this|ee721e0086d04cd3978dc90e0ded4556|
identified risks|common effects from groups of risks|arise from|ee721e0086d04cd3978dc90e0ded4556|
root cause risk|several risks|arises from|af78ec6081bc421c8a24b1ed46e10cde|
root cause risk|response to root cause risk|focuses on addressing|af78ec6081bc421c8a24b1ed46e10cde|
common effects from groups of risks|areas of greatest risk exposure|allows identification of|af78ec6081bc421c8a24b1ed46e10cde|
areas of greatest risk exposure|project completion date|exposure to|af78ec6081bc421c8a24b1ed46e10cde|
areas of greatest risk exposure|budget|exposure to|af78ec6081bc421c8a24b1ed46e10cde|
areas of greatest risk exposure|particular deliverable's scope|exposure to|af78ec6081bc421c8a24b1ed46e10cde|
list of risks|project management|provides characteristics of|af78ec6081bc421c8a24b1ed46e10cde|
risks with the most influence (positive or negative)|project objectives|influence on achieving|af78ec6081bc421c8a24b1ed46e10cde|
high priority risks|plan risk responses process|an important focus in|af78ec6081bc421c8a24b1ed46e10cde|
quantitative risk analysis|analysis of overall project risk|discussed in|af78ec6081bc421c8a24b1ed46e10cde|
agreed upon approach|risk assessment process|is based on|a8cd47daa55e45d2a8e4f443ffad23fa|
agreed upon approach|all risks|is applied to|a8cd47daa55e45d2a8e4f443ffad23fa|
all risks|any project|are identified in|a8cd47daa55e45d2a8e4f443ffad23fa|
risk|probability of occurrence|is assessed according to|a8cd47daa55e45d2a8e4f443ffad23fa|
risk|impact on individual objectives|is assessed according to|a8cd47daa55e45d2a8e4f443ffad23fa|
risks|urgency|are considered by|a8cd47daa55e45d2a8e4f443ffad23fa|
urgency|near term responses|may be more urgent to address|a8cd47daa55e45d2a8e4f443ffad23fa|
urgency|lead time necessary to execute a risk response|is influenced by|a8cd47daa55e45d2a8e4f443ffad23fa|
urgency|clarity of symptoms and warning signs|is influenced by|a8cd47daa55e45d2a8e4f443ffad23fa|
risks|manageability|are examined in terms of|a8cd47daa55e45d2a8e4f443ffad23fa|
manageability|resources to address them|is evaluated with respect to|a8cd47daa55e45d2a8e4f443ffad23fa|
unmanageable risks|project team|may decide to go forward perhaps establishing a contingency reserve|a8cd47daa55e45d2a8e4f443ffad23fa|
unmanageable risks|stop or re scope the project|pose an unmanageable threat or opportunity|a8cd47daa55e45d2a8e4f443ffad23fa|
project team|contingency reserve|establishes|d801016a5485466596412059379350c2|
project team|stop or re scope the project|decides to go forward perhaps|d801016a5485466596412059379350c2|
risks|project|poses an unmanageable threat or an opportunity|d801016a5485466596412059379350c2|
risks|customer|informs|d801016a5485466596412059379350c2|
decision|customer|asks for|d801016a5485466596412059379350c2|
risks|impact|impacts|d801016a5485466596412059379350c2|
risk|enterprise|affects beyond the project|d801016a5485466596412059379350c2|
risk assessment|agreed upon definitions of important terms|is based on|45c1243b9a9e4090bc1a1182e8ac211c|
use of definitions for level of probability and impact on objectives|risk assessment|assists in giving realistic assessments for each risk|45c1243b9a9e4090bc1a1182e8ac211c|
communication of the results to management and other stakeholders|risk assessment|facilitates the communication of|45c1243b9a9e4090bc1a1182e8ac211c|
chapter 6|qualitative risk analysis|performs|45c1243b9a9e4090bc1a1182e8ac211c|
risk assessment|agreed upon definitions of risk terms|is based on|043e3cb77b304e69bd146662d198e544|
agreed upon definitions of risk terms|consistent use of definitions|is used consistently when assessing each risk|043e3cb77b304e69bd146662d198e544|
levels of probability|definitions for example|is a part of|043e3cb77b304e69bd146662d198e544|
impact on objectives|definitions for example|is a part of|043e3cb77b304e69bd146662d198e544|
realistic assessments for each risk|providers of information|assists|043e3cb77b304e69bd146662d198e544|
